title,link,date
NGOMA-NYANZA ROAD CONSTRUCTION ON TRACK IN RWANDA,https://gambetanews.com/ngoma-nyanza-road-construction-on-track-in-rwanda/,13/12/2023
DRC INVITES BIDS TO BUILD PRIMARY SCHOOLS,https://constructafrica.com/projects-and-tenders/drc-invites-bids-build-primary-schools,30/11/2023
AFREXIMBANK PLANS AFRICAN QUALITY ASSURANCE CENTRES,https://constructafrica.com/news/afreximbank-plans-african-quality-assurance-centres,17/11/2023
DRC SEEKS CONSULTANT FOR 93KM ROAD FEASIBILITY STUDY,https://constructafrica.com/projects-and-tenders/drc-seeks-consultant-93km-road-feasibility-study,14/11/2023
KENYA FIRM TO LEAD CONSTRUCTION OF SMART CITY PROJECT IN DR CONGO,https://gambetanews.com/kenya-firm-to-lead-construction-of-smart-city-project-in-dr-congo/,13/11/2023
"INTERVIEW: NICOLAS DELAUNAY, CHIEF INVESTMENT OFFICER, AXIAN ENERGY",https://constructafrica.com/news/interview-nicolas-delaunay-chief-investment-officer-axian-energy,08/11/2023
DRC SEEKS CONSULTANTS FOR WATER INTAKE PROJECT,https://constructafrica.com/projects-and-tenders/drc-seeks-consultants-water-intake-project,31/10/2023
HOW DAR ES SALAAM PORT INEFFICIENCES ARE DERAILING TANZANIA’S ECONOMY,https://gambetanews.com/how-dar-es-salaam-port-inefficiences-are-derailing-tanzanias-economy/,23/10/2023
CENTRAL AFRICAN REPUBLIC TENDERS MONGOUMBA RIVER PORT,https://constructafrica.com/news/central-african-republic-tenders-mongoumba-river-port,19/10/2023
KARIBA DAM REHABILITATION PROJECT MOVES AHEAD,https://constructafrica.com/news/kariba-dam-rehabilitation-project-moves-ahead,13/10/2023
SDGS: SUB-SAHARAN AFRICA LIKELY TO MISS KEY INFRASTRUCTURE GOALS,https://constructafrica.com/news/sdgs-sub-saharan-africa-likely-miss-key-infrastructure-goals,12/10/2023
BUSANGA HYDROPOWER PLANT INAUGURATED IN DRC,https://constructafrica.com/news/busanga-hydropower-plant-inaugurated-drc,09/10/2023
ZAMBIA AND DRC BREAK GROUND ON LUAPULA BRIDGE,https://constructafrica.com/news/zambia-and-drc-break-ground-luapula-bridge,06/10/2023
DRC SEEKS CONSULTANT FOR 444KM ROAD PROJECT,https://constructafrica.com/projects-and-tenders/drc-seeks-consultant-444km-road-project,02/10/2023
US AND EU LOOK TO ACCELERATE LOBITO CORRIDOR EXPANSION,https://constructafrica.com/news/us-and-eu-look-accelerate-lobito-corridor-expansion,14/09/2023
BIDS INVITED FOR ROAD MAINTENANCE CONTRACT IN RWANDA,https://constructafrica.com/projects-and-tenders/bids-invited-road-maintenance-contract-rwanda,13/09/2023
RWANDA PUSHES ON WITH LAKE KIVU PROJECT,https://constructafrica.com/news/rwanda-pushes-lake-kivu-project,12/09/2023
DRC INVITES BIDS FOR 5 PUBLIC HEALTH LABORATORIES,https://constructafrica.com/projects-and-tenders/drc-invites-bids-5-public-health-laboratories,07/09/2023
DRC INVITES EOIS FROM CONSULTANTS FOR TRANSNATIONAL ROAD CORRIDOR TO ANGOLA,https://constructafrica.com/projects-and-tenders/drc-invites-eois-consultants-transnational-road-corridor-angola,28/08/2023
TRANSNET PARTNERS WITH ICTSI FOR DURBAN CONTAINER TERMINAL,https://constructafrica.com/news/transnet-partners-ictsi-durban-container-terminal,24/07/2023
DRC PLANS NEW PALACE OF JUSTICE BUILDING,https://constructafrica.com/news/drc-plans-new-palace-justice-building,24/07/2023
AFDB PROVIDES FINANCING FOR FLOATING DOCK IN GHANA,https://constructafrica.com/news/afdb-provides-financing-floating-dock-ghana,26/06/2023
WORLD BANK: SUB-SAHARAN AFRICA ATTRACTED US$4.9 BILLION IN PRIVATE INFRASTRUCTURE INVESTMENT IN 2022,https://constructafrica.com/news/world-bank-sub-saharan-africa-attracted-us49-billion-private-infrastructure-investment-2022,14/06/2023
AFRICAN ECONOMIC OUTLOOK: AFDB PREDICTS 4% GDP GROWTH IN 2023-4,https://constructafrica.com/news/african-economic-outlook-afdb-predicts-4-gdp-growth-2023-4,26/05/2023
CONSTRUCTION TO RESUME ON LUSAKA-NDOLA ROAD IN ZAMBIA,https://constructafrica.com/news/construction-resume-lusaka-ndola-road-zambia,17/05/2023
KWALA DRY PORT CONSTRUCTION COMPLETED IN TANZANIA,https://gambetanews.com/kwala-dry-port-construction-completed-in-tanzania/,08/05/2023
ARISE IIP STARTS WORK ON SIERRA LEONE INDUSTRIAL ZONE,https://constructafrica.com/news/arise-iip-starts-work-sierra-leone-industrial-zone,02/05/2023
TANZANIA GOVT ALLOCATE 2BN FUNDS FOR CONSTRUCTION OF ISOLATION CENTRE,https://gambetanews.com/tanzania-govt-allocate-2bn-funds-for-construction-of-isolation-centre/,13/04/2023
TATU CITY COMPLETE INFRASTRUCTURAL DEVELOPMENT WORTH SH1BILLION IN KENYA,https://gambetanews.com/tatu-city-complete-infrastructural-development-worth-sh1billion-in-kenya/,30/03/2023
WORK PROGRESSES ON TANZANIA’S KIGONGO-BUSISI BRIDGE ON LAKE VICTORIA,https://constructafrica.com/news/work-progresses-tanzanias-kigongo-busisi-bridge-lake-victoria,06/03/2023
WHY CONGO GOVT. DEMAND ADDITIONAL US$17BILLION INFRASTRUCTURAL FUND FROM CHINA,https://gambetanews.com/why-congo-govt-demand-additional-us17billion-infrastructural-fund-from-china/,28/02/2023
CONSTRUCTION OF ZIPLINE TO BOOST TOURISM IN RWANDA’s NYUNGWE NATIONAL PARK,https://gambetanews.com/construction-of-zipline-to-boost-tourism-in-rwandas-nyungwe-national-park/,27/02/2023
TANZANIA AWARDS US$2.2 BILLION RAIL CONTRACT TO CHINESE CONSORTIUM,https://constructafrica.com/news/tanzania-awards-us22-billion-rail-contract-chinese-consortium,11/02/2023
SIERRA LEONE TO INVEST US$476 MILLION ON PORT AND RAIL INFRASTRUCTURE,https://constructafrica.com/news/sierra-leone-invest-us476-million-port-and-rail-infrastructure,05/02/2023
DISCO STEEL PLANT PROJECT NOW 80% COMPLETE IN ZIMBABWE,https://gambetanews.com/disco-steel-plant-project-now-80-complete-in-zimbabwe/,25/01/2023
HOW MUTUAL AID ORGANIZATION IS TRANSFORMING KIRUMBA URBAN LANDSCAPE IN D.R.CONGO,https://gambetanews.com/how-mutual-aid-organization-is-transforming-kirumba-urban-landscape-in-drc/,06/01/2023
TANROAD SIGNED DEAL TO CONSTRUCT TARMAC ROAD IN TANZANIA,https://gambetanews.com/tanroad-signed-deal-to-construct-tarmac-road-in-tanzania/,03/01/2023
